kind,value,source
extension,gsc,github-linguist + curated
extension,gsh,github-linguist + curated
extension,gshader,github-linguist + curated
extension,gsp,github-linguist + curated
extension,gsx,github-linguist + curated
extension,gtl,github-linguist + curated
extension,gto,github-linguist + curated
extension,gtp,github-linguist + curated
extension,gtpl,github-linguist + curated
extension,gts,github-linguist + curated
extension,gv,github-linguist + curated
extension,gvy,github-linguist + curated
extension,h++,github-linguist + curated
extension,h.in,github-linguist + curated
extension,hack,github-linguist + curated
extension,haml.deface,github-linguist + curated
extension,handlebars,github-linguist + curated
extension,har,github-linguist + curated
extension,hats,github-linguist + curated
extension,hb,github-linguist + curated
extension,hbs,github-linguist + curated
extension,hc,github-linguist + curated
extension,heex,github-linguist + curated
extension,hhi,github-linguist + curated
extension,hic,github-linguist + curated
extension,hip,github-linguist + curated
extension,hlean,github-linguist + curated
extension,hlsli,github-linguist + curated
extension,hocon,github-linguist + curated
extension,hoon,github-linguist + curated
extension,hqf,github-linguist + curated
extension,hql,github-linguist + curated
extension,hs-boot,github-linguist + curated
extension,hsc,github-linguist + curated
extension,hta,github-linguist + curated
extension,html.eex,github-linguist + curated
extension,html.hl,github-linguist + curated
extension,html.tmpl,github-linguist + curated
extension,http,github-linguist + curated
extension,hurl,github-linguist + curated
extension,hxml,github-linguist + curated
extension,hxsl,github-linguist + curated
extension,hy,github-linguist + curated
extension,hzp,github-linguist + curated
extension,i7x,github-linguist + curated
extension,ical,github-linguist + curated
extension,ice,github-linguist + curated
extension,iced,github-linguist + curated
extension,ics,github-linguist + curated
extension,idc,github-linguist + curated
extension,idr,github-linguist + curated
extension,ig,github-linguist + curated
extension,ihlp,github-linguist + curated
extension,ijm,github-linguist + curated
extension,ijs,github-linguist + curated
extension,ik,github-linguist + curated
extension,ily,github-linguist + curated
extension,imba,github-linguist + curated
extension,ink,github-linguist + curated
extension,ino,github-linguist + curated
extension,ins,github-linguist + curated
extension,intr,github-linguist + curated
extension,iol,github-linguist + curated
extension,ipf,github-linguist + curated
extension,ipynb,github-linguist + curated
extension,irclog,github-linguist + curated
extension,isl,github-linguist + curated
extension,ispc,github-linguist + curated
extension,iuml,github-linguist + curated
extension,ivy,github-linguist + curated
extension,ixx,github-linguist + curated
extension,j2,github-linguist + curated
extension,jac,github-linguist + curated
extension,jade,github-linguist + curated
extension,jai,github-linguist + curated
extension,jake,github-linguist + curated
extension,janet,github-linguist + curated
extension,jav,github-linguist + curated
extension,javascript,github-linguist + curated
extension,jcl,github-linguist + curated
extension,jelly,github-linguist + curated
extension,jflex,github-linguist + curated
extension,jinja2,github-linguist + curated
extension,jison,github-linguist + curated
extension,jisonlex,github-linguist + curated
extension,jq,github-linguist + curated
extension,js.erb,github-linguist + curated
extension,jsb,github-linguist + curated
extension,jscad,github-linguist + curated
extension,jsfl,github-linguist + curated
extension,jsh,github-linguist + curated
extension,jslib,github-linguist + curated
extension,json-tmlanguage,github-linguist + curated
extension,json.example,github-linguist + curated
extension,jsonld,github-linguist + curated
extension,jsonnet,github-linguist + curated
extension,jspre,github-linguist + curated
extension,jsproj,github-linguist + curated
extension,jss,github-linguist + curated
extension,jst,github-linguist + curated
extension,jte,github-linguist + curated
extension,just,github-linguist + curated
extension,k,github-linguist + curated
extension,kak,github-linguist + curated
extension,kdl,github-linguist + curated
extension,kicad_mod,github-linguist + curated
extension,kicad_pcb,github-linguist + curated
extension,kicad_sch,github-linguist + curated
extension,kicad_sym,github-linguist + curated
extension,kicad_wks,github-linguist + curated
extension,kid,github-linguist + curated
extension,kit,github-linguist + curated
extension,kk,github-linguist + curated
extension,kojo,github-linguist + curated
extension,kql,github-linguist + curated
extension,krl,github-linguist + curated
extension,ks,github-linguist + curated
extension,ksy,github-linguist + curated
extension,ktm,github-linguist + curated
extension,kv,github-linguist + curated
